event_id,customer_id,session_id,event_type,event_timestamp,page_url,product_id,category_id,referrer_source,device_type,user_agent,ip_address
evt_000001,cust_62953,sess_a6c0dfaf,page_view,2025-08-30 04:40:46,explore,prod_1273,cat_electronics,facebook,desktop,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/4.0),173.40.192.42
evt_000002,cust_70123,sess_64f5f063,checkout_start,2025-09-01 06:07:59,app/tag/blog,prod_6062,cat_clothing,google,mobile,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/41.0.826.0 Safari/531.1",221.164.39.131
evt_000003,cust_11295,sess_5c058414,checkout_start,2025-09-04 14:10:56,explore/list/app,prod_9494,cat_beauty,instagram,tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.0),151.9.87.26
evt_000004,cust_19655,sess_0d833263,purchase,2025-08-24 10:46:23,search/categories/tag,prod_2766,cat_sports,email,tablet,Opera/9.75.(Windows NT 4.0; bs-BA) Presto/2.9.169 Version/11.00,22.184.169.129
evt_000005,cust_34507,sess_0111fefd,add_to_cart,2025-09-06 23:15:20,categories/categories,prod_6329,cat_clothing,twitter,desktop,Opera/8.49.(Windows NT 10.0; ayc-PE) Presto/2.9.164 Version/12.00,93.58.21.29
evt_000006,cust_80676,sess_5d49e5e1,page_view,2025-09-11 01:06:37,search/posts/tags,prod_7705,cat_sports,google,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/29.0.863.0 Mobile/42B887 Safari/534.2",154.74.155.46
evt_000007,cust_62399,sess_9d491d78,page_view,2025-08-20 21:24:34,blog/explore/search,prod_5602,cat_home,facebook,desktop,Opera/9.43.(Windows NT 10.0; an-ES) Presto/2.9.164 Version/12.00,21.238.191.14
evt_000008,cust_97089,sess_2fe150cb,page_view,2025-09-14 11:23:05,tags/explore/wp-content,,,email,mobile,Mozilla/5.0 (Windows NT 5.0; pa-IN; rv:1.9.2.20) Gecko/2465-12-06 13:19:48.688028 Firefox/3.6.8,89.230.36.88
evt_000009,cust_86112,sess_a7962475,checkout_start,2025-09-08 14:52:32,blog/categories,,,facebook,desktop,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/3.0),171.24.216.227
evt_000010,cust_33744,sess_44ea4cef,remove_from_cart,2025-08-22 08:45:17,tags/app,,,instagram,tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.1),156.69.186.125
evt_000011,cust_87765,sess_ee705551,checkout_start,2025-08-26 12:15:50,tags/blog,prod_9846,cat_home,twitter,mobile,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_2 rv:5.0; hu-HU) AppleWebKit/535.24.7 (KHTML, like Gecko) Version/4.0 Safari/535.24.7",139.165.155.231
