snapshot_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,reorder_quantity,supplier_id,last_received_date,unit_cost
snap_000001,prod_4092,wh_004,2025-09-12,191,35,156,49,126,supp_003,2025-07-19,507.73
snap_000002,prod_3895,wh_003,2025-08-17,305,29,276,84,195,supp_004,2025-07-19,105.43
snap_000003,prod_7288,wh_005,2025-09-10,211,19,192,71,129,supp_004,2025-08-05,805.63
snap_000004,prod_5449,wh_002,2025-09-08,203,18,185,56,191,supp_005,2025-07-25,214.51
snap_000005,prod_7044,wh_005,2025-08-31,36,19,17,91,154,supp_005,2025-07-19,290.51
snap_000006,prod_2659,wh_005,2025-09-06,142,23,119,44,126,supp_005,2025-07-23,706.27
snap_000007,prod_9869,wh_001,2025-09-02,197,22,175,49,180,supp_003,2025-08-15,609.44
snap_000008,prod_4747,wh_002,2025-08-21,410,36,374,19,162,supp_001,2025-07-29,154.61
snap_000009,prod_5907,wh_004,2025-09-01,452,15,437,82,93,supp_001,2025-09-15,521.12
snap_000010,prod_3327,wh_001,2025-08-27,55,33,22,94,64,supp_002,2025-09-03,889.21
snap_000011,prod_9994,wh_004,2025-08-26,472,25,447,100,79,supp_003,2025-07-20,818.59
snap_000012,prod_4396,wh_001,2025-09-02,180,7,173,68,57,supp_003,2025-08-29,688.55
snap_000013,prod_9192,wh_005,2025-09-03,63,11,52,38,139,supp_003,2025-07-20,957.0
snap_000014,prod_1689,wh_003,2025-08-25,72,9,63,78,140,supp_005,2025-09-04,826.53
snap_000015,prod_2871,wh_003,2025-09-04,217,40,177,52,184,supp_003,2025-09-08,271.77
snap_000016,prod_7189,wh_002,2025-09-15,15,45,0,17,199,supp_004,2025-07-29,963.61
snap_000017,prod_4769,wh_004,2025-09-02,464,44,420,86,162,supp_005,2025-09-08,711.12
snap_000018,prod_9910,wh_003,2025-09-06,479,4,475,54,146,supp_001,2025-07-26,146.31
snap_000019,prod_1504,wh_003,2025-09-07,212,4,208,88,64,supp_004,2025-08-02,913.18
snap_000020,prod_9611,wh_003,2025-09-15,88,48,40,45,170,supp_003,2025-09-02,526.3
snap_000021,prod_7041,wh_001,2025-08-30,164,49,115,79,152,supp_005,2025-08-25,522.44
snap_000022,prod_9760,wh_004,2025-09-09,132,35,97,79,122,supp_002,2025-08-04,302.32
snap_000023,prod_6120,wh_003,2025-09-12,98,30,68,31,138,supp_004,2025-09-15,259.23
snap_000024,prod_4029,wh_004,2025-09-14,394,0,394,24,196,supp_004,2025-07-27,45.84
snap_000025,prod_5410,wh_001,2025-09-08,93,47,46,12,132,supp_002,2025-08-31,595.08
snap_000026,prod_9528,wh_002,2025-09-07,480,37,443,16,72,supp_005,2025-08-24,174.79
snap_000027,prod_7408,wh_004,2025-08-27,96,10,86,44,56,supp_003,2025-08-12,822.88
snap_000028,prod_7083,wh_005,2025-09-09,76,10,66,45,68,supp_001,2025-08-10,894.62
snap_000029,prod_7991,wh_004,2025-09-03,443,46,397,68,176,supp_001,2025-08-04,735.0
snap_000030,prod_2671,wh_004,2025-08-26,97,29,68,91,105,supp_004,2025-09-02,298.73
snap_000031,prod_8253,wh_005,2025-08-22,180,4,176,78,84,supp_001,2025-08-04,726.19
snap_000032,prod_7475,wh_004,2025-09-12,73,40,33,54,86,supp_003,2025-08-02,320.06
snap_000033,prod_5318,wh_004,2025-08-24,233,50,183,72,183,supp_002,2025-08-15,58.17
snap_000034,prod_6770,wh_005,2025-09-07,187,14,173,24,200,supp_004,2025-08-19,719.63
snap_000035,prod_1702,wh_004,2025-09-08,263,44,219,49,107,supp_004,2025-08-30,419.01
snap_000036,prod_8771,wh_005,2025-09-01,0,22,0,94,167,supp_002,2025-09-09,942.37
snap_000037,prod_8710,wh_002,2025-09-07,496,2,494,77,148,supp_002,2025-09-05,495.82
snap_000038,prod_2379,wh_002,2025-08-29,55,38,17,96,115,supp_004,2025-07-31,922.26
snap_000039,prod_7392,wh_001,2025-08-30,149,42,107,85,199,supp_001,2025-08-27,11.67
snap_000040,prod_9772,wh_002,2025-08-24,355,9,346,48,89,supp_004,2025-08-08,236.75
snap_000041,prod_8281,wh_003,2025-08-26,252,39,213,64,56,supp_003,2025-09-08,679.21
snap_000042,prod_4792,wh_003,2025-09-09,236,9,227,62,95,supp_001,2025-08-07,768.0
snap_000043,prod_3870,wh_005,2025-09-02,123,29,94,67,159,supp_005,2025-08-06,721.79
snap_000044,prod_9081,wh_005,2025-09-05,417,10,407,60,81,supp_001,2025-09-07,973.12
snap_000045,prod_7639,wh_001,2025-08-21,451,50,401,82,60,supp_005,2025-07-31,358.52
snap_000046,prod_6540,wh_004,2025-09-09,424,6,418,21,171,supp_003,2025-08-10,723.32
snap_000047,prod_5038,wh_003,2025-09-02,406,43,363,83,159,supp_002,2025-08-22,559.85
