transaction_id,order_id,customer_id,payment_method,payment_status,amount,currency,transaction_timestamp,processor_response_code,gateway_fee,merchant_id,billing_country,risk_score
txn_000001,ord_247263,cust_73499,google_pay,pending,1373.23,USD,2025-09-08 06:29:57,00,4.13,merch_4207,WS,91
txn_000002,ord_258749,cust_87943,apple_pay,failed,646.0,USD,2025-08-30 04:21:57,51,2.16,merch_3212,MZ,28
txn_000003,ord_104048,cust_56720,apple_pay,failed,1429.91,USD,2025-08-22 03:39:27,00,3.74,merch_2147,PT,7
txn_000004,ord_104995,cust_66143,google_pay,pending,1107.92,USD,2025-09-16 16:50:01,51,3.46,merch_3124,MT,25
txn_000005,ord_649444,cust_66939,apple_pay,failed,234.17,USD,2025-08-18 16:23:24,05,4.35,merch_8734,GE,74
txn_000006,ord_414478,cust_71016,bank_transfer,failed,1276.8,USD,2025-09-13 23:51:27,51,0.93,merch_5664,FI,8
txn_000007,ord_862299,cust_46862,google_pay,failed,10.49,USD,2025-09-06 11:18:07,05,4.94,merch_3217,MH,97
txn_000008,ord_628230,cust_57526,google_pay,completed,1753.84,USD,2025-08-29 21:49:44,14,2.47,merch_8176,MG,60
txn_000009,ord_997130,cust_57631,paypal,pending,855.93,USD,2025-09-08 19:15:50,05,1.35,merch_1728,NO,25
txn_000010,ord_346479,cust_69485,apple_pay,pending,1349.75,USD,2025-09-05 13:23:38,61,2.43,merch_6476,RW,91
txn_000011,ord_598736,cust_89216,debit_card,refunded,318.69,USD,2025-08-20 07:44:05,00,2.59,merch_6965,CL,42
txn_000012,ord_490795,cust_57838,apple_pay,completed,1489.11,USD,2025-08-29 05:51:10,51,0.76,merch_2606,OM,55
txn_000013,ord_607952,cust_30005,apple_pay,failed,1414.21,USD,2025-09-06 16:56:12,51,2.98,merch_7668,MW,80
txn_000014,ord_434558,cust_52956,apple_pay,refunded,233.34,USD,2025-08-26 18:59:19,05,2.96,merch_9725,AM,7
txn_000015,ord_233472,cust_53786,apple_pay,failed,1557.21,USD,2025-09-07 15:38:37,05,4.84,merch_3251,RO,91
txn_000016,ord_486363,cust_53682,google_pay,completed,1569.78,USD,2025-08-26 15:15:37,14,0.64,merch_4632,BB,16
txn_000017,ord_243882,cust_23036,debit_card,pending,1778.42,USD,2025-08-23 09:50:35,00,2.39,merch_8432,SY,9
txn_000018,ord_715913,cust_77885,debit_card,refunded,938.34,USD,2025-09-14 02:34:12,01,0.87,merch_2301,SN,85
txn_000019,ord_182484,cust_11935,google_pay,pending,1032.64,USD,2025-08-29 23:35:50,51,3.63,merch_8313,BY,67
txn_000020,ord_846722,cust_82625,credit_card,completed,1870.87,USD,2025-09-10 11:27:22,51,3.03,merch_6230,BN,96
txn_000021,ord_704852,cust_83340,bank_transfer,pending,695.33,USD,2025-08-31 04:48:52,61,4.92,merch_1542,MW,80
txn_000022,ord_274561,cust_49131,google_pay,failed,1895.57,USD,2025-09-07 10:47:28,05,3.31,merch_2526,GH,57
txn_000023,ord_340945,cust_86783,credit_card,completed,818.35,USD,2025-09-15 14:09:49,14,1.19,merch_5837,CO,94
txn_000024,ord_970705,cust_12349,bank_transfer,failed,1304.24,USD,2025-09-08 22:49:48,00,1.22,merch_8248,NZ,97
txn_000025,ord_869309,cust_41142,bank_transfer,refunded,1038.82,USD,2025-09-08 12:29:42,51,1.31,merch_3974,VU,23
txn_000026,ord_447548,cust_53904,paypal,refunded,34.14,USD,2025-09-01 05:34:25,51,0.67,merch_1997,CZ,38
txn_000027,ord_122617,cust_47531,apple_pay,completed,1940.4,USD,2025-08-25 16:34:59,61,0.75,merch_2638,BB,43
txn_000028,ord_115949,cust_66680,apple_pay,pending,1694.83,USD,2025-08-24 12:38:17,14,3.91,merch_9372,GY,29
txn_000029,ord_109748,cust_22285,credit_card,refunded,434.37,USD,2025-09-07 21:54:52,51,0.78,merch_1967,DM,47
txn_000030,ord_480978,cust_26090,credit_card,pending,125.3,USD,2025-08-31 12:43:48,00,0.95,merch_2864,LS,20
txn_000031,ord_317382,cust_71662,debit_card,pending,983.54,USD,2025-08-27 16:26:50,14,1.67,merch_4619,BO,81
txn_000032,ord_792257,cust_16507,google_pay,completed,465.66,USD,2025-08-18 12:54:38,61,4.33,merch_6507,BE,77
txn_000033,ord_217791,cust_38745,paypal,failed,300.71,USD,2025-08-20 01:48:28,01,2.68,merch_8989,VC,93
txn_000034,ord_383124,cust_96171,credit_card,completed,1611.36,USD,2025-08-28 12:32:17,14,4.42,merch_3108,AM,75
txn_000035,ord_105181,cust_69549,apple_pay,failed,1222.66,USD,2025-08-23 12:09:51,14,3.34,merch_9459,IL,78
txn_000036,ord_438291,cust_47765,debit_card,failed,1820.71,USD,2025-09-06 09:37:05,05,5.0,merch_8993,MD,24
txn_000037,ord_971716,cust_29946,credit_card,pending,1277.24,USD,2025-08-24 08:37:50,01,1.64,merch_9906,SC,98
txn_000038,ord_913034,cust_43822,bank_transfer,refunded,1405.22,USD,2025-09-07 02:35:31,14,0.91,merch_8255,BY,81
txn_000039,ord_640493,cust_10660,paypal,pending,1938.51,USD,2025-08-28 10:58:15,05,4.24,merch_5114,SL,38
txn_000040,ord_302311,cust_95872,credit_card,completed,654.96,USD,2025-09-04 23:09:26,14,1.61,merch_8596,PA,90
txn_000041,ord_799518,cust_74609,paypal,pending,1402.97,USD,2025-09-04 03:29:32,05,1.42,merch_4185,MK,77
txn_000042,ord_682354,cust_93903,paypal,refunded,1350.22,USD,2025-09-01 22:20:27,01,3.37,merch_7141,KI,37
txn_000043,ord_698502,cust_23192,credit_card,completed,1471.45,USD,2025-08-18 14:23:03,61,2.55,merch_9329,CU,47
txn_000044,ord_282113,cust_13941,paypal,pending,1129.26,USD,2025-08-29 11:06:17,00,0.72,merch_7993,SV,27
txn_000045,ord_104716,cust_15570,apple_pay,pending,1849.23,USD,2025-08-27 16:50:00,51,3.87,merch_5751,GD,52
txn_000046,ord_239102,cust_42608,credit_card,pending,1379.54,USD,2025-08-21 16:23:40,14,4.47,merch_3874,KM,52
txn_000047,ord_740766,cust_84018,google_pay,pending,1913.29,USD,2025-08-25 21:09:47,14,1.13,merch_9649,QA,35
txn_000048,ord_475466,cust_87688,debit_card,failed,740.5,USD,2025-08-28 20:35:33,01,1.18,merch_5861,TD,69
txn_000049,ord_872711,cust_54602,bank_transfer,completed,98.51,USD,2025-08-19 03:09:54,05,3.48,merch_5403,SZ,43
txn_000050,ord_538335,cust_52836,apple_pay,failed,91.04,USD,2025-09-04 22:24:57,61,2.04,merch_5728,AG,43
txn_000051,ord_245762,cust_70377,credit_card,refunded,1495.98,USD,2025-09-08 19:11:33,14,3.2,merch_8255,NL,16
txn_000052,ord_214278,cust_91757,apple_pay,pending,792.71,USD,2025-08-25 04:15:09,14,1.63,merch_7022,VN,94
txn_000053,ord_295586,cust_75363,bank_transfer,failed,1264.46,USD,2025-09-12 19:46:32,05,3.56,merch_7321,SA,54
txn_000054,ord_698601,cust_22682,debit_card,completed,732.68,USD,2025-09-09 13:22:18,00,3.36,merch_3332,BF,8
txn_000055,ord_975279,cust_44747,bank_transfer,refunded,31.9,USD,2025-08-21 15:18:48,00,1.05,merch_2677,LR,41
txn_000056,ord_242678,cust_37752,google_pay,completed,281.79,USD,2025-08-25 01:59:52,05,2.52,merch_7571,AG,79
txn_000057,ord_747531,cust_82215,debit_card,refunded,422.77,USD,2025-08-23 07:22:14,01,4.53,merch_7230,AO,1
txn_000058,ord_523129,cust_57848,bank_transfer,failed,726.87,USD,2025-09-10 10:58:21,01,1.17,merch_7476,ZM,42
txn_000059,ord_809093,cust_72838,paypal,refunded,676.0,USD,2025-08-18 04:08:52,61,4.52,merch_1210,AT,50
txn_000060,ord_988560,cust_62220,google_pay,failed,92.72,USD,2025-08-23 05:40:36,61,0.66,merch_1893,SE,15
txn_000061,ord_812972,cust_83066,credit_card,failed,1393.35,USD,2025-08-23 05:46:52,00,1.3,merch_6875,PT,82
txn_000062,ord_544578,cust_73594,credit_card,completed,619.94,USD,2025-08-26 08:11:56,51,4.42,merch_6959,BE,38
txn_000063,ord_878982,cust_93174,debit_card,pending,285.89,USD,2025-09-13 02:33:16,61,1.18,merch_9343,IR,15
txn_000064,ord_724784,cust_43770,bank_transfer,completed,877.63,USD,2025-09-11 05:47:10,14,4.72,merch_8399,GT,31
txn_000065,ord_532539,cust_19381,debit_card,failed,408.5,USD,2025-09-06 16:36:28,01,1.74,merch_5470,KM,85
txn_000066,ord_766121,cust_73237,bank_transfer,completed,1227.58,USD,2025-09-03 01:20:05,61,2.87,merch_3101,LC,46
txn_000067,ord_869053,cust_25290,credit_card,failed,1177.44,USD,2025-08-31 02:12:55,01,0.93,merch_1658,MW,44
txn_000068,ord_302974,cust_82714,paypal,failed,1913.82,USD,2025-09-03 15:05:15,51,1.77,merch_6508,BW,57
txn_000069,ord_307149,cust_36250,google_pay,completed,906.22,USD,2025-09-11 01:51:42,05,2.34,merch_8514,BJ,78
txn_000070,ord_395304,cust_95857,bank_transfer,refunded,456.6,USD,2025-09-05 22:51:57,51,4.92,merch_7984,NZ,75
txn_000071,ord_128682,cust_18090,google_pay,completed,1106.58,USD,2025-08-24 15:07:12,14,3.26,merch_4625,LK,27
txn_000072,ord_421733,cust_94345,paypal,completed,197.15,USD,2025-08-29 14:42:29,05,2.74,merch_4209,AM,43
txn_000073,ord_734682,cust_41765,apple_pay,pending,1772.31,USD,2025-08-24 18:21:26,61,3.49,merch_6412,PH,49
txn_000074,ord_619521,cust_35088,apple_pay,refunded,595.03,USD,2025-08-24 21:06:36,05,2.94,merch_9610,BO,91
txn_000075,ord_845676,cust_37785,apple_pay,refunded,243.6,USD,2025-08-20 10:24:22,51,0.48,merch_3607,DE,25
txn_000076,ord_314667,cust_53618,google_pay,completed,46.81,USD,2025-09-13 02:39:21,05,4.66,merch_9874,KM,76
txn_000077,ord_672563,cust_76458,paypal,failed,1062.27,USD,2025-08-18 14:53:46,51,3.41,merch_5885,TJ,62
txn_000078,ord_565707,cust_99638,paypal,refunded,617.16,USD,2025-08-28 07:28:28,01,0.9,merch_1981,AU,19
txn_000079,ord_206248,cust_95365,google_pay,failed,259.17,USD,2025-09-02 21:17:40,61,1.53,merch_1626,LK,82
txn_000080,ord_292332,cust_12440,google_pay,refunded,1937.24,USD,2025-08-25 22:15:08,51,2.17,merch_3754,BZ,66
txn_000081,ord_121553,cust_59862,credit_card,pending,746.32,USD,2025-09-16 09:23:47,51,3.87,merch_9648,SA,54
txn_000082,ord_380368,cust_40466,apple_pay,failed,394.66,USD,2025-09-11 17:54:21,01,4.52,merch_2212,EE,91
txn_000083,ord_309864,cust_47311,google_pay,refunded,895.31,USD,2025-08-27 12:13:59,00,2.08,merch_9973,MW,28
txn_000084,ord_481366,cust_67588,credit_card,pending,1052.96,USD,2025-09-02 08:08:06,51,1.93,merch_5618,IT,91
txn_000085,ord_940597,cust_35556,google_pay,refunded,241.96,USD,2025-09-09 12:04:39,00,1.58,merch_4510,RU,24
txn_000086,ord_455258,cust_14934,credit_card,failed,1943.95,USD,2025-08-27 09:14:14,05,2.14,merch_8192,SK,3
txn_000087,ord_732708,cust_11891,google_pay,failed,594.23,USD,2025-09-16 15:16:38,01,3.13,merch_8912,MG,88
txn_000088,ord_735395,cust_70626,debit_card,refunded,478.95,USD,2025-09-03 23:39:52,14,3.82,merch_6641,GN,85
txn_000089,ord_291985,cust_70542,credit_card,failed,338.87,USD,2025-09-16 07:26:17,05,0.51,merch_2980,ST,88
txn_000090,ord_838694,cust_88510,bank_transfer,completed,1297.12,USD,2025-09-14 03:12:19,51,2.99,merch_1275,CR,59
txn_000091,ord_801171,cust_48426,bank_transfer,refunded,625.43,USD,2025-09-05 08:28:49,05,1.61,merch_8818,BB,87
txn_000092,ord_833158,cust_87842,paypal,refunded,865.17,USD,2025-08-19 23:13:22,01,3.84,merch_5403,UG,25
txn_000093,ord_362768,cust_51247,bank_transfer,failed,756.65,USD,2025-09-10 00:56:43,00,0.4,merch_5845,DZ,95
txn_000094,ord_297288,cust_44706,paypal,refunded,234.81,USD,2025-09-12 00:36:53,61,3.83,merch_8504,RU,38
txn_000095,ord_131278,cust_48883,apple_pay,pending,995.01,USD,2025-08-23 13:57:52,61,4.85,merch_9023,SV,44
txn_000096,ord_757067,cust_83586,apple_pay,failed,61.86,USD,2025-09-02 13:59:28,14,4.17,merch_6232,ER,60
txn_000097,ord_649824,cust_78025,credit_card,completed,19.28,USD,2025-09-01 10:37:36,05,0.49,merch_7398,AR,15
txn_000098,ord_297030,cust_99910,paypal,completed,228.03,USD,2025-09-15 23:21:56,01,3.71,merch_5214,LT,84
txn_000099,ord_613460,cust_15710,credit_card,completed,1500.63,USD,2025-09-13 05:33:30,51,0.67,merch_4040,FI,74
txn_000100,ord_546274,cust_77806,paypal,pending,1822.36,USD,2025-09-14 23:10:34,05,4.95,merch_7847,NA,80
txn_000101,ord_916256,cust_44597,google_pay,refunded,1926.2,USD,2025-09-10 15:03:31,61,0.85,merch_5875,SV,23
txn_000102,ord_580428,cust_83132,credit_card,completed,405.93,USD,2025-08-29 06:55:22,01,1.39,merch_5365,VN,20
txn_000103,ord_226330,cust_83832,apple_pay,failed,1330.27,USD,2025-08-20 12:47:07,00,2.11,merch_2754,PY,46
txn_000104,ord_836421,cust_48339,bank_transfer,completed,1380.65,USD,2025-09-04 08:41:54,61,4.92,merch_6313,LA,53
txn_000105,ord_389566,cust_78558,bank_transfer,refunded,1410.91,USD,2025-08-31 22:09:46,51,1.67,merch_6980,LV,52
txn_000106,ord_307329,cust_85080,credit_card,completed,1535.91,USD,2025-09-06 12:57:49,51,3.37,merch_3775,ZM,19
txn_000107,ord_836633,cust_20096,bank_transfer,pending,355.79,USD,2025-09-13 07:37:45,61,4.67,merch_5808,TV,46
txn_000108,ord_669946,cust_67530,bank_transfer,pending,1374.41,USD,2025-09-15 18:32:05,51,4.05,merch_4086,NO,87
txn_000109,ord_537414,cust_26320,paypal,completed,76.96,USD,2025-08-20 11:47:35,51,4.13,merch_7458,MD,28
txn_000110,ord_614379,cust_87278,paypal,completed,788.8,USD,2025-08-21 08:13:45,01,2.95,merch_7085,RS,55
txn_000111,ord_409038,cust_66436,debit_card,completed,1923.81,USD,2025-08-30 03:51:39,00,1.72,merch_6922,FJ,26
txn_000112,ord_829941,cust_31171,google_pay,failed,1753.55,USD,2025-08-20 18:05:53,51,0.84,merch_6378,LR,50
txn_000113,ord_706285,cust_74452,debit_card,failed,1797.54,USD,2025-09-09 22:05:26,00,3.76,merch_1086,SI,19
txn_000114,ord_290576,cust_81614,apple_pay,failed,871.2,USD,2025-09-10 16:16:21,61,4.39,merch_4056,TJ,13
txn_000115,ord_985607,cust_82209,apple_pay,completed,329.73,USD,2025-09-05 12:35:30,00,4.09,merch_4262,MM,26
txn_000116,ord_802478,cust_53332,google_pay,failed,842.01,USD,2025-09-02 23:45:16,01,0.32,merch_3895,GM,2
txn_000117,ord_745479,cust_36930,credit_card,failed,1165.25,USD,2025-08-17 18:28:32,05,4.27,merch_4820,KW,65
txn_000118,ord_137678,cust_92833,credit_card,pending,1226.38,USD,2025-08-31 15:22:12,61,0.77,merch_3835,ZM,17
txn_000119,ord_540659,cust_91077,apple_pay,pending,1485.11,USD,2025-08-26 06:02:16,14,4.01,merch_3749,PK,40
txn_000120,ord_714629,cust_46245,google_pay,completed,1065.36,USD,2025-08-18 21:39:05,14,0.56,merch_4600,PW,78
txn_000121,ord_232494,cust_52483,credit_card,failed,223.58,USD,2025-09-03 06:35:26,51,2.14,merch_3966,BI,26
txn_000122,ord_512264,cust_22737,bank_transfer,completed,1830.42,USD,2025-09-04 08:26:51,05,3.42,merch_6388,TG,91
txn_000123,ord_984716,cust_96338,apple_pay,pending,1313.79,USD,2025-08-26 06:42:21,01,0.31,merch_9222,AE,40
txn_000124,ord_955460,cust_92295,paypal,failed,192.12,USD,2025-08-21 10:15:22,01,2.36,merch_2485,PT,3
txn_000125,ord_282534,cust_76538,paypal,completed,1954.73,USD,2025-09-11 08:27:27,61,1.1,merch_5252,TZ,41
txn_000126,ord_479856,cust_86261,apple_pay,pending,919.98,USD,2025-09-12 09:29:03,00,3.99,merch_8742,DE,85
txn_000127,ord_481719,cust_18508,paypal,completed,1881.73,USD,2025-08-30 11:16:26,01,1.82,merch_5958,GY,64
txn_000128,ord_596696,cust_30527,apple_pay,pending,955.05,USD,2025-09-05 00:09:41,05,2.81,merch_4531,TD,45
txn_000129,ord_625518,cust_37061,bank_transfer,pending,1528.53,USD,2025-08-28 00:50:40,05,3.52,merch_8331,BN,49
txn_000130,ord_419728,cust_38324,credit_card,refunded,945.95,USD,2025-08-22 07:37:12,14,1.37,merch_7859,SB,35
txn_000131,ord_258652,cust_21573,google_pay,pending,220.99,USD,2025-09-12 22:25:12,61,0.9,merch_9334,LS,10
txn_000132,ord_357139,cust_12518,debit_card,pending,70.66,USD,2025-09-15 23:52:52,14,3.28,merch_5657,ZW,22
txn_000133,ord_389287,cust_97565,paypal,completed,1167.74,USD,2025-08-29 01:07:30,00,4.93,merch_3706,RW,49
txn_000134,ord_853539,cust_97648,apple_pay,pending,1013.2,USD,2025-09-04 08:10:06,00,1.62,merch_8687,ER,76
txn_000135,ord_645064,cust_29669,apple_pay,pending,1883.31,USD,2025-09-01 18:12:47,51,3.46,merch_7901,CD,6
txn_000136,ord_466661,cust_38355,bank_transfer,refunded,1312.17,USD,2025-09-05 18:58:17,01,1.19,merch_3028,KM,39
txn_000137,ord_972743,cust_25486,bank_transfer,failed,134.88,USD,2025-09-14 15:35:05,61,3.47,merch_4581,BF,68
txn_000138,ord_255806,cust_41367,bank_transfer,refunded,968.22,USD,2025-09-15 11:38:22,14,3.45,merch_4748,KH,70
txn_000139,ord_875705,cust_19675,credit_card,pending,1153.79,USD,2025-08-20 09:45:16,05,3.28,merch_9964,MG,40
txn_000140,ord_879998,cust_65281,apple_pay,failed,723.91,USD,2025-09-10 21:50:28,00,2.97,merch_1913,CN,41
txn_000141,ord_525053,cust_50866,bank_transfer,refunded,630.2,USD,2025-08-20 10:21:42,61,4.2,merch_1826,MX,10
txn_000142,ord_248751,cust_49655,debit_card,pending,395.55,USD,2025-09-01 09:23:49,51,2.55,merch_2329,BN,91
txn_000143,ord_803120,cust_10535,paypal,refunded,1447.29,USD,2025-08-27 03:59:00,00,1.02,merch_3210,GE,94
txn_000144,ord_693440,cust_44444,debit_card,failed,166.37,USD,2025-08-24 07:16:21,01,2.52,merch_8584,MA,4
txn_000145,ord_230134,cust_22452,paypal,refunded,11.63,USD,2025-08-25 03:45:06,61,1.26,merch_1471,CR,9
txn_000146,ord_574293,cust_60297,debit_card,failed,39.12,USD,2025-09-01 17:49:02,51,1.21,merch_1241,CH,50
txn_000147,ord_224923,cust_79315,debit_card,failed,877.68,USD,2025-08-20 11:33:21,14,3.41,merch_7675,TL,72
txn_000148,ord_162763,cust_27375,credit_card,refunded,1114.87,USD,2025-09-14 09:40:39,01,1.68,merch_3826,GY,61
txn_000149,ord_126446,cust_61602,google_pay,refunded,1007.34,USD,2025-09-05 04:57:09,14,3.38,merch_9405,CN,52
txn_000150,ord_645460,cust_42432,paypal,failed,271.95,USD,2025-08-22 08:34:33,51,1.26,merch_9030,GB,69
txn_000151,ord_965910,cust_58995,google_pay,pending,441.46,USD,2025-09-06 07:00:39,51,3.68,merch_3363,PW,64
txn_000152,ord_113714,cust_81392,credit_card,refunded,1229.2,USD,2025-08-23 16:59:48,51,0.89,merch_5441,PW,8
txn_000153,ord_576635,cust_18776,bank_transfer,completed,1763.89,USD,2025-08-31 16:57:34,51,1.39,merch_9058,ME,100
txn_000154,ord_193871,cust_53050,debit_card,refunded,702.77,USD,2025-08-20 04:14:10,01,3.85,merch_5667,IT,98
txn_000155,ord_665543,cust_94034,bank_transfer,completed,1318.47,USD,2025-09-05 20:37:26,61,3.98,merch_7474,ST,12
txn_000156,ord_364306,cust_58783,paypal,pending,366.68,USD,2025-08-24 19:46:36,00,2.86,merch_8025,CV,64
txn_000157,ord_918958,cust_39118,google_pay,failed,1339.57,USD,2025-09-06 12:52:09,61,0.67,merch_4129,NA,19
txn_000158,ord_714208,cust_46779,paypal,refunded,1671.8,USD,2025-08-18 21:03:43,01,1.12,merch_3774,NI,43
txn_000159,ord_785634,cust_62938,debit_card,pending,1016.76,USD,2025-09-01 20:42:08,51,1.36,merch_2181,MT,86
txn_000160,ord_222042,cust_82828,debit_card,failed,1170.83,USD,2025-08-30 02:50:48,51,0.85,merch_4395,MH,83
txn_000161,ord_719988,cust_62512,apple_pay,completed,163.41,USD,2025-09-01 16:30:49,61,4.96,merch_9332,LU,93
txn_000162,ord_977194,cust_39750,apple_pay,pending,1291.92,USD,2025-09-10 03:24:33,51,5.0,merch_2592,SE,40
txn_000163,ord_901946,cust_14516,paypal,failed,105.03,USD,2025-09-10 12:34:18,14,2.98,merch_2214,TH,37
txn_000164,ord_727806,cust_79777,paypal,pending,1455.14,USD,2025-08-27 22:16:28,51,3.14,merch_2065,AF,19
